author,date,description,tags,title
Luba Elliott,July 2019,"Over the past couple of years, there has been increasing interest in applying the latest advances in machine learning to creative projects in art and design. From DeepDream and style transfer to a GAN-generated painting selling for $430,000 at auction, AI art has moved beyond the world of research and academia and become a trend in its own right. Meanwhile, the contemporary art world's fascination with the social impact of facial recognition, recommendation systems and deep fakes has encouraged artists to explore AI critically as subject matter. This talk will give an overview of how artists and technologists are using and thinking about machine learning, its creative potential and societal impact.","Algorithms,Computer Vision,Deep Learning",AI in Contemporary Art
Patrick Arminio,July 2019,"Over the past few years GraphQL has gained much traction, but what’s the state of GraphQL in Python. This talk describes what GraphQL is, why it has been created and the current state of GraphQL libraries in Python.","Django,RESTful,Web,Web General,Web Servers and MicroFWs (Flask/Tornado/Nginx/...)",GraphQL in Python 🍓
Max Bélanger,July 2019,"Python is widely used to write scripts and tools, but did you know that it can also be used to build client-side end-user applications? Crossing the gap from script to app can be challenging: Join us to learn how to write modern, high quality desktop apps in Python!","Architecture,Best Practice,Cross-Platform-Development,Mac OS X,Windows",How to ship a Python app to a hundred million desktops
Max Humber,July 2019,"When you learn a new language, like French or German or even English, you first learn how to read. Then you learn how to write. When you learn a new *programming* language, you first learn how to write. And that’s it. ","Beginners,Clean Code,Documentation,Learning,Teaching",How to read (code)
Anton Caceres,July 2019,"Sarcastic talk, sharing real-life experience on both technical and social aspects of doing an architecture migration to microservices without losing a job.","Architecture,Best Practice,Communication,Distributed Systems,Microservices",How To Build a Python Microservice Without Losing a Job
Johnny Dude,July 2019,Did you ever wonder why development in Python can be x10 faster than development in languages like c++?,"Best Practice,Development,Software Design,The Answer to Life the Universe and Everything Else,failures/mistakes",How Thinking in Python Made Me a Better Software Engineer
Christian Barra,July 2019,"Infarm is a FaaS, Farming as a Service, and whether you believe it or not, our business is in-house farming at scale.","Big Data,Hardware/IoT,Internet of Things (IoT),Machine-Learning,Python general",How software can feed the world 🌱
Batuhan Taşkaya,July 2019,"Have you ever realized how dynamic CPython interpreter is? Maybe it is the most dynamic interpreter you may see. It gives interfaces to internal things like garbage collector or AST, allows to alter functions code, modify built-in functions etc. ",CPython,Hack The CPython
Olivier Grisel,July 2019,scikit-learn 0.21 was recently released and this presentation will give an overview its main new features in general and present the new implementation of Gradient Boosted Trees.,"Cython,Data,Machine-Learning,Multi-Threading,Scientific Libraries (Numpy/Pandas/SciKit/...)",Histogram-based Gradient Boosting in scikit-learn 0.21
Dustin Ingram,July 2019,"Support for Python on Google Cloud has never been better. Join us for a tour of Python runtimes, services and client libraries, including App Engine, Cloud Functions, Cloud Run, and more. We'll also discuss tools for monitoring and debugging your Python application, and best practices for using Python on Google Cloud.","Deployment/Continuous Integration and Delivery,DevOps general,Development,Public Cloud (AWS/Google/...),Web",Google Cloud for Pythonistas
Stefan Baerisch,July 2019,"Python and Go are a great combination. Like Python, Go is easy to learn, powerful to use and has many useful libraries. Go and Python work great together: Go has better performance and parallelism, while Python is more expressive. Wouldn't it be nice if you could combine the benefits of Go and Python in one program? This talk shows you how.","Cython,Go-Lang,Tooling",Go(lang) to Python
Martin Christen,July 2019,"Geospatial data is data containing a spatial component – describing objects with a reference to the planet's surface. This data usually consists of a spatial component, of various attributes, and sometimes of a time reference (where, what, and when). Efficient processing and visualization of small to large-scale spatial data is a challenging task. ","Analytics,Big Data,Deep Learning,GPU,Visualization",Geospatial Analysis using Python and JupyterHub
Stefan Behnel,July 2019,"Processing lots of data, in need of more speed, or struggling to make use of native code? The Cython compiler for Python solves all of these problems in a pythonic way, by compiling Python code to optimised C code.","C-Languages,Compiler and Interpreters,Cython,Performance,Programming",Get up to speed with Cython 3.0
Marc-Andre Lemburg,July 2019,We need help with organizing and running EuroPython 2020.,"Community,EuroPython,EuroPython Society (EPS)",EuroPython 2020: Help us build the next edition!
Iulia Avram,July 2019,"Do you remember when you used to learn algorithms? It was probably either back when you were studying for your degree, or when you were brushing up for a technical interview. If you're like most of the developers I know, solving algorithms probably went from being a fun past-time, to a bothersome necessity, to a thing of the past. Our life has been greatly improved by our tools and there's little need to know all sorting methods out there, or how to search through a tree. Or maybe we're wrong, maybe knowing these things could make a difference in how we write code. ","Algorithms,Best Practice,Education,Fun and Humor",Gamifying the study of algorithms
Radomir Dopieralski,July 2019,"Making computer games is difficult: it requires creativity, multidisciplinary knowledge of art, psychology, math, computer science, physics and others, patience, open mind and dedication. Making computer games with Python is a nightmare. You hit practically every sharp corner that Python has, starting with installation, through binary libraries, poor hardware support, up to distribution.","Education,Gadgets,Hardware/IoT,Learning,MicroPython",Game Development with CircuitPython
Michał Karzyński,July 2019,"Did you write a cool and useful Python script? Would you like to share it with the community, but you're not sure how to go about that? If so, then this talks is for you. We'll go over a list of simple steps which can turn your script into a fully fledged open-source project.","Best Practice,Clean Code,Code Analysis,Static Analysis,Tooling",From Python script to Open Source Project
Sviatoslav Sydorenko,July 2019,"Over the years of maintaining a number of FOSS projects, I've got a lot of hands-on experience of automating various processes related to maintainership responsibilities.","Best Practice,Deployment/Continuous Integration and Delivery,Open-Source,PyPi,Templating",🤖 Open Source projects automation
Marc-Andre Lemburg,July 2019,"This is where the EuroPython Society (EPS) board gives its reports, resolutions are passed and the EPS members can vote in a new EPS board.","Community,EPS,EuroPython,EuroPython Society (EPS)",EPS General Assembly 2019
Daniele Procida,July 2019,"It's not enough to write a good talk. You have have to produce a good talk proposal to be selected in the first place. For most conferences, many people submit proposals to the CFP, but only a few are selected - sometimes as few as one in ten or more.",Conferences and Meet-Ups,Write a better conference talk proposal
Oliver Bestwalter,July 2019,"We’ll try to help everyone with their questions around pytest, tox and devpi and how they work together to test and release your packages.","Best Practice,Test Libraries (pytest/nose/...),Testing,python",The pytest/tox/devpi help desk
Ronan Lamy,July 2019,PyPy is a fast alternative implementation of Python.,"Compiler and Interpreters,Performance,PyPy",PyPy help desk
Takanori Suzuki,July 2019,"[Python Boot Camp](https://www.pycon.jp/support/bootcamp.html)(#pycamp) is a Python beginner course held all over Japan. #pycamp is organized by PyCon JP Committee and has been held 30 times in 28 regions starting from 2016. The purpose of #pycamp is to expand the Python community throughout Japan, and as a result several local communities were established.","Case Study,Community,Education,Learning,Programming",Python Boot Camp: Introduction of efforts to spread Python all over Japan
Moisés Guimarães,July 2019,"Applications and services rely on configuration data in order to be customized, and for a cloud operating system like OpenStack it is not that different.","Authentication,Cryptography,Data Protection,Security",Protecting secrets with Oslo.Config and HashiCorp Vault
Sebastian Roll,July 2019,"Ever wondered how hardware is made, or curious about making your own?","Gadgets,Hardware/IoT,Internet of Things (IoT),MicroPython",From circuit board design to finished product
Christopher Lozinski,July 2019,The Forest Wiki is a tree of Wiki pages..  You can edit both the content and the look and feel n the browser.   Python code can be run in the browser using either Transcrypt or Pyodide. ,"Beginners,Docker,Documentation,Graph Databases,Plone",The Forest Wiki
Coen de Groot,July 2019,"(Important: before the workshop, go to http://www.compassmentis.com/europython2019/)","Education,Game-Development,Learning,Teaching","Write your own games, simulations and demonstrations with PyGame"
Roberto Polli,July 2019,Abstract,"APIs,HTTP",Writing interoperable REST APIs with OpenAPI 3 and connexion
Martin Gfeller,July 2019,"Numerical reporting is used in many domains – from accounting (oldest written records) to financial risk management (our domain) to science.  Reporting has a chasm with an island in the middle – programming-less, limited (“Report Writers”, even advanced systems like Tableau, Qlik) to programming required, anything possible. Excel sits in the middle of the chasm, limited programming, limited flexibility.  What we like for users to be flexible in their report arrangements, and programmers to be able to add functionalities in a piecemeal way. ","Analytics,Case Study,Human-Machine-Interaction,Scientific Libraries (Numpy/Pandas/SciKit/...),Software Design",Flexport – extremely pluggable reporting
Parth Shandilya,July 2019,"Twitter bots are a powerful way to up your social media game as well as extracting information from the microblogging network. By leveraging Twitter’s versatile APIs, a bot can do a lot of things - tweet, retweet, “fav-tweet”, follow, reply automatically and much more! When done in the right way, the combination of the above actions can be of great utility. Even though some bots can abuse their power and give a negative experience to other users, research shows that people view Twitter bots as a credible source of information. For example, a bot can keep your followers engaged with content even when you’re not online. Some bots even provide critical and helpful information (e.g, @EarthquakesSF). It is estimated that bots account for about 24% of all tweets on Twitter.","Best Practice,Open-Source,Python 3,Python Skills,Python general",Chirps: A Twitter Bot Framework written in Python
"Cheuk Ho,Kara de la Marck",July 2019,"In this workshop, through hands on coding exercises, participants will learn how to use an open source chatbot framework, RASA, in conjunction with an NLP library, NLTK, to build a chatbot that gathers customer feedback and generates a report regarding the sentiment of the text.","Data Science,Machine-Learning,Natural Language Processing,Open-Source,Use Case",Step Into the AI Era: Chatbots that know if you are angry
Sebastian Roll,July 2019,"In this training session, you are provided with a custom made controller packed with hardware components such a touch displays, buttons, joysticks and various sensors. The hardware design is open source and available at https://github.com/bytebarista/controller_pcb.","Compiler and Interpreters,Gadgets,Hardware/IoT,Internet of Things (IoT),MicroPython",MicroPython Bootcamp: Batteries Included!
Michael Lynn,July 2019,"Learn the essentials of Python application development with,MongoDB as you build and complete a fully functional web application.,Attendees will receive an overview and introduction to MongoDB and then application development with Python and MongoDB before embarking on a journey of discovery, completing ticket-based work packages each designed to build on the previous. Learners will swiftly gain the skills necessary to leverage Python and MongoDB to build modern web applications.","Databases,Development,Jupyter,MongoDB,Programming",MongoDB for Python Developers
