author,date,description,tags,title
Christian Barra,July 2019,Do you find easier to build a 3894 pieces IKEA’s furniture than using K8s?,"Best Practice,Configuration Management (Ansible/Fabric/Chef/...),Deployment/Continuous Integration and Delivery,DevOps general,Distributed Systems",Kubernetes 101 for Python Developers
Shailen Sobhee,July 2019,"We take a look at a solid use-case of the application of deep learning in the healthcare sector. In a hands-on fashion, you will get the chance to walk through the Python-based algorithm that performs a tumour segmentation from MRI scans of the human brain. We will explore the deep neural network used, the framework leveraged and the hyper-parameter tuning considerations for best training and inferencing performance. In this session, you will also see what the Intel® Math Kernel Library for Deep Neural Networks (Intel® MKL-DNN) does behind the scenes to maximise hardware performance.","Cross-Platform-Development,Data Science,Deep Learning,Distributed Systems,Performance",High Performance deep learning with Intel technologies
Francesco Pierfederici,July 2019,"PEP 484 (building upon PEP 3107) introduced support for type hints. Type hints allow, among other things, third-party tools to check Python code for possible bugs due to unintentional type mismatches. They also serve as documentation for your functions and methods. ","Code Analysis,Mind Bending,Programming,Python 3,Type-Hinting",Keep Those Ducks in (Type) Check!
Dmitry Kisler,July 2019,"Most of data science articles cover details on how to build machine learning models, however only few describe how machine learning projects are being integrated into product (web-, or mobile app). ","APIs,Docker,Machine-Learning,Microservices",How to power up your product by machine learning with python micro-service
Sandrine Pataut,July 2019,"We hear a lot about Machine Learning, but it’s just one part of a bigger process. Before applying any algorithm to a data set, discovery and preparation are needed. This hands-on workshop will cover an end-to-end classification project, from importing the data to evaluating a model performance. After this tutorial, you will have completed a step by step Machine Learning workflow.","Algorithms,Analytics,Beginners,Data Science,Machine-Learning",Get to grips with pandas and scikit-learn
Florian Bruhin,July 2019,The pytest tool presents a rapid and simple way to write tests for your Python code. This training gives an introduction with exercises to some distinguishing features. We'll also examine how to run existing non-pytest test suites and discuss migration strategies. Various plugins which extend pytest's functionality even further will be introduced. We'll finish with discussing topics and questions of participants related to their own test suites and usages.,"Best Practice,TDD,Test Libraries (pytest/nose/...),Testing",Introduction to pytest
Mike Müller,July 2019,"The functional programming paradigm has been around for a long time but,currently experiences a renaissance. Many of its principles promise better,,more stable, more readable and easily testable programs. Python's,multi-paradigm nature allows to choose the right style for a task.","Algorithms,Data Structures,Functional Programming,Python 3,Python Skills",Functional Programming with Python
Miguel Grinberg,July 2019,"Are you a Python beginner interested in learning Web Development? If you find the number of different technologies that you need to learn to build even a simple web site overwhelming, this might be a class for you. I will assume that you have basic Python knowledge and no web development experience, and through a series of lectures and hands-on exercises, I will help you make sense of it all. By the end of the class you will have a high-level understanding of the web development ecosystem, plus a complete starter web application running in your laptop.","HTML5,HTTP,Web Servers and MicroFWs (Flask/Tornado/Nginx/...)",First Steps in Web Development with Python
Daniele Procida,July 2019,"You're a programmer, which you love doing, but the culture of DevOps is pulling you towards a world in which you're supposed to be responsible for the dark art of operations too. Maybe you're happy with that - but what if you regard that prospect a bit anxiously? What if the next step is to be given a pager to keep by your bed, or to find yourself on alert during a children's birthday party?","Deployment/Continuous Integration and Delivery,DevOps general,Django,Docker,Web",But I never wanted to do DevOps!
Shailen Sobhee,July 2019,"In this session, we will first have a quick overview of Intel's rich software offering for your HPC and AI needs. We will then explore deeper with hands-on exercises, how we take the performance of key Python packages such as numpy, numba and scikit-learn to the next level thanks to performance libraries like  the Intel® Data Analytics and Acceleration Library (Intel® DAAL) and the Intel® Math Kernel Library (Intel® MKL).","Analytics,Data Science,Machine-Learning,Performance,Scientific Libraries (Numpy/Pandas/SciKit/...)",Boost your Python and Machine Learning  algorithms
Alexander CS Hendorf,July 2019,For Analytics Pandas is a de-facto industry standard and an established tool in the scientific community. Dealing with data-analysis is easy and simple -  but there are some things you need to get your head around first as Data-Frames and Data-Series.,"Analytics,Data,Data Science,Visualization",Analytics with 🐼 Pandas and Jupyterlab
Justin Mayer,July 2019,"Ensuring reliably repeatable dependency installation has long been an unsolved problem for many Python projects. Pinning dependencies via setup.py and requirements.txt has historically been met with extra work and unexpected results, particularly when managing the dependencies of dependencies.","Deployment/Continuous Integration and Delivery,Open-Source,Packaging,PyPi",Zen of Python Dependency Management
Tom Forbes,July 2019,Reloading your code changes quickly is an integral part of the development experience in frameworks like Django and Flask that developers have come to rely on. But how do they work under the hood and what challenges do you face while writing one?,"Architecture,Development,Django,Python 3,Software Design",Writing a Python autoreloader
Maria Molina-Contreras,July 2019,"Biology and computing are closer than we usually think, for example many algorithms are inspired in biology patterns, and complementary to that, researchers needs special algorithms to have a better understanding of our environment. Thus, there is a strong relation an dependency.,In the past years, Biology has been transformed into computational biology. Therefore,technological advances helps us to predict physical interactions between atoms and DNA, because we are being able to integrate information from biology into algorithms.","Algorithms,Data Science,Natural Science,Scientific Libraries (Numpy/Pandas/SciKit/...),python",“When a biologist met Python”
Adriana Dorneles,July 2019,"How recommendation engines are taking part in our daily routine and how companies as Netflix and Amazon implement it?,This talk aims to show the elements that compound a recommendation engine to people who have never been in touch with the matter or want to know a bit more. At the end of this session, you might be able to reproduce your own recommendation system and also know where to find more about it.","Algorithms,Big Data,Business,Data Science,Python 3",What about recommendation engines?
Elizaveta Shashkova,July 2019,"Many Python developers like Jupyter Notebooks for their flexibility: they are very useful for interactive prototyping, scientific experiments, visualizations and many other tasks. There are different development tools which make working with Jupyter Notebooks easier and smoother, but all of them lack very important feature: visual debugger. Since Jupyter Kernel is a usual Python process, it looks reasonably to use one of existing Python debuggers with it. But is it really possible? ","Debugging,Jupyter,Python general,Tooling",Visual debugger for Jupyter Notebooks: Myth or Reality?
Sebastian Witowski,July 2019,"I've been programming in Python for over 7 years. And from the time someone introduced me to IPython, it immediately became my default Python REPL. I enjoyed the syntax highlighting, code completion or the instant access to the documentation. Over the years, I've picked up more and more tricks that IPython could do: embedding IPython sessions, starting IPython automatically when a test fails, taking advantage of the startup files, not to mention all the various magic functions.","Best Practice,Development,Ipython,Tooling,iPython","Wait, IPython can do that?!"
Adrian Mönnich,July 2019,"Many Flask projects nowadays still use mostly static HTML, WTForms and just a bit of AJAX. All the JavaScript is usually included straight from .js files or just minified with Python tools like webassets.","JavaScript Web Frameworks (AngularJS/ReactJS/...),Web Servers and MicroFWs (Flask/Tornado/Nginx/...)",useFlask() - or how to use a React frontend for your Flask app
Cristián Maureira-Fredes,July 2019,"One of the main Python aspects is to have a clear syntax and be an,easy-to-understand language, which compared to others like C++,(depending of the kindness of the developer) can make a huge difference.,Not only the readability is in play, having a dynamically typed,and interpreted language improves the development workflow.","C-Languages,CPython",Unleash the power of C++ in Python
Christoph Deil,July 2019,"Do you have numerical code written in Python and Numpy? Do you wish it ran faster, using the full potential of your CPU?","CPython,Compiler and Interpreters,Multi-Threading,Performance,Scientific Libraries (Numpy/Pandas/SciKit/...)",Understanding Numba - the Python and Numpy compiler
Yan Orestes,July 2019,"Nowadays, security is one of the most important topics in the entire computing world, and indeed in the world in general, ranging from political aspects such as the virus that affected Iranian centrifuges to the more personal side such as your cousin who had their social network account invaded and never understood how it happened. But how does this all work? Is a malware so complicated to understand?","Data Privacy,Privacy,Python 3,Security,Socket",Understanding how a malware works using Python
Tyler Brough,July 2019,"In this demo-driven session, we will introduce the Probo package for teaching Python programming and concepts from computational finance to beginning programmers in the domain of finance. We'll show how Python is the perfect tool for teaching computational thinking to develop deeper quantitative reasoning. Jupyter notebooks, together with Python packages such as NumPy and Pandas, provide the ideal learning environment. ","Beginners,Business,Business Cases,Education,Jupyter",Using Python to Teach Computational Finance
Michele Simionato,July 2019,"This is a talk for people who need to perform large numeric calculations. They could be scientists, developers working in close contact with scientists, or even people working on finance and other quantitative fields. Such people are routinely confronted with issues like","Algorithms,Architecture,Big Data,Case Study,Performance",Tips for the scientific programmer
Nicholas Tollervey,July 2019,"This talk tells the story of Mu, a native code editor written in Python (https://codewith.mu/).","Cross-Platform-Development,Development,Education,Packaging,failures/mistakes",Tools of the Trade: The Making of a Code Editor.
Daniele Procida,July 2019,I present an ultra-cheap (total cost of materials :€12.50) plotter that can be built with minimal skills.,Education,"The world's cheapest, simplest plotter"
Petr Stehlík,July 2019,"At Kiwi.com we heavily rely on task queues and asynchronous execution of code to process large amounts of requests coming to our back-ends. With the separation of our codebase to microservices, we can quickly try new tools and different approaches to process these large volumes of requests. The microservice we’ll be talking about is making unreliable slow 3rd party services reliable and asynchronous with a bit of business logic sprinkled on top of it. We’ll tell a failure story of ours but resulting in a valuable lesson.","ASYNC / Concurreny,Architecture,Best Practice,Case Study,failures/mistakes",The dos and don'ts of task queues
Andrey Vlasovskikh,July 2019,What's coming in Python 3.8? You can learn it by yourself by reading an excellent document [What's New in Python 3.8][1]. I'm not going to retell this document. Instead I'll focus on things barely described there or not mentioned at all:,"ASYNC / Concurreny,Compiler and Interpreters,New Features,Python 3,Type-Hinting",The Story of Features Coming in Python 3.8 and Beyond
Alejandro Saucedo,July 2019,"This talk will provide an overview of the key challenges and trends in the productization of machine learning systems, including concepts such as reproducibility, explainability and orchestration. The talk will also provide a high level overview of several key open source tools and frameworks available to tackle these issues, which have been identifyed putting together the Awesome Machine Learning Operations list (https://github.com/EthicalML/awesome-machine-learning-operations). ","Architecture,Data,Data Science,Deep Learning,Machine-Learning",The state of Machine Learning Operations in 2019
Pablo Salgado,July 2019,# Why,"Abstractions,CPython,Performance,python",The soul of the beast
Dougal Matthews,July 2019,"Software infrastructure is changing. Microservices, Containers, Continuous Integration, Serverless and many other ideas are growing in popularity. This added complexity comes with benefits but it is harder to answer simple questions about system behaviour. Do you know what is happening in your production app?","Deployment/Continuous Integration and Delivery,Distributed Systems,Docker,Microservices",The Secret Life of Software
Sebastian Roll,July 2019,"Customer lock-in. Dubious “Land and Expand” strategies. We have all heard about outsourced software projects that run far past schedule and obliterates the budget, yet somehow fail to meet even basic requirements. ","Business,Clients,Ethics,Management,freelancing",The Dangers of Outsourcing Software Development
Stephan Jaensch,July 2019,"A main advantage of microservices is improved developer velocity. One roadblock to achieving it is giving developers the confidence that their changes are correct and safe, which is a challenging problem in such a distributed architecture. Typical approaches involve relying on automated end-to-end testing, which is costly to set up, develop tests for and run.","Distributed Systems,Microservices,Testing,python",Testing Microservices: fast and with confidence
Anastasiia Tymoshchuk,July 2019,"Nowadays everyone wants to bring Agile Best Practices into all the teams, but it's a hard task to implement it and adapt based on different teams. Setting up all necessary Agile meetings and using buzz words is not enough for the team to be happy and successful while working in Agile environment.,Inspired by the ""Divine Comedy"" by Dante Alighieri, I decided to create a short guide into Agile best practices. It will guide through Failures, Challenges to the Success in building a happy dream team!,This talk is divided into three parts:,1. Failures in setting up Agile processes for a team.,2. Challenges on the way to happy and successful team.,3. Successful examples how to have happy and productive Agile team and constantly deliver a great product.","Agile,Development,General,The Answer to Life the Universe and Everything Else",The Agile comedy: from hell to paradise
Michele De Simoni,July 2019,"The talk will showcase the main features of this new TF version that should appease the needs of the Researcher and Practitioner alike. A focus will be put on:,- Keras as the new standard API,- Eager Mode & Graph ,- Production Pipeline,- Extended Ecosystem","APIs,Beginners,Data Science,Deep Learning,Machine-Learning",TensorFlow 2.0: TensorFlow Strikes Back
Chiin-Rui Tan,July 2019,What is OSINT? And who cares?     ,"Algorithms,Data,Machine-Learning,Open-Source,Web Crawling",Tech-Powered OSINT: hunting for intelligence in open sources with Python
Lilian Nandi anonymous,July 2019,"Our generation of young people in school (aged 5-18) have noticed the connection between Computer pRogramming, Technology & Success and Billionaires.On mass they are clamoring to master the skill of Computer pRogramming. We describe a successful working model for the teaching of Computer pRogamming.","All Other Programming Languages,Education,Programming,Python 3,Teaching",Teaching Programming to the Next Generation
Shailen Sobhee,July 2019,"In this talk, you will learn various optimization techniques to improve the runtime performance of your deep learning algorithms on Intel architecture. The presentation will cover how to accelerate the training of your deep neural networks with Tensorflow thanks to the highly optimized Intel® Math Kernel Library (Intel® MKL) and how we boost inferencing with Intel® nGraph and with the Intel® Distribution of OpenVINO™.","Data Science,Deep Learning,Open-Source",Supercharge your Deep Learning algorithms with optimized software
Mai Giménez,July 2019,"Tensorflow is one of the most powerful machine learning libraries. ,However, one could argue that it is as well one of the most convoluted libraries to utilise. Or it used to be. ,Tensorflow has been updating its API, simplifying the pipeline while keeping it flexible. You could either predict your class label using a pre-trained canned estimator or doing some fancy operations with the inner tensors of your neural network. It's a choose your own adventure game. ,But it's challenging to make sense of all the new changes. Fear not. Here, we learned what changes we should adopt. ","Best Practice,Data Science,Deep Learning,Machine-Learning,Scientific Libraries (Numpy/Pandas/SciKit/...)",Tensorflow Estimators
Bernat Gabor,July 2019,"Python is easy to learn and use programming language; however, managing dependencies and package versions for it are nowhere as pleasant. One of the basic building block created to help with this is virtual environments. Join me in understanding how virtual environments work from within (by one of the project maintainers); also, to find out if the good old virtualenv project has any place left, now that Python 3.4+ contains venv.",Virtual Env,status quo of virtual environments
Alisa Dammer,July 2019,"Both Python and Rust are getting more and more popularity. Although it is unfair to compare them directly, this talk aims to provide a clear comparison with a pre-defined criteria applied to a specific use-case. ,Writing a simulation engine is very similar to writing a game engine and requires certain features from a language or framework.,Possible comparison criteria: ,1. Performance,2. Simplicity,3. Amount of code necessary for a MVP,4. Utilities: docs, tests, profile,5. Compatibility","Code Analysis,Development,Rust,python",Python vs Rust for Simulation
Vita Smid,July 2019,"The Python community has been warming up to static typing for a few years now. You may have seen talks that did a great job of introducing the basic concepts, mypy, and high-level strategies to cover existing code bases.","Static Analysis,Type-Hinting",Static typing: beyond the basics of def foo(x: int) -> str:
Radoslav Georgiev,July 2019,Software development is a team game.,"Abstractions,Best Practice,Communication,Django Projects,Management",Software patterns for productive teams
Clinton Roy,July 2019,"A synchrotron is a large research facility that has a large software stack to keep things running, fortunately a large chunk of the stack is Open Source and fair chunk of it is Python to boot. By the end of the talk attendees will understand the scale of the infrastructure (both physical and software) that is required, and have an idea of what sort of problems a synchrotron could help them solve.","ASYNC / Concurreny,Architecture,Big Data,Engineering,Hardware/IoT",Running a Synchrotron on Open Source Python
Samuel Colvin,July 2019,I'm going to talk about the 4 main levels of parallelism in modern Computing:,"ASYNC / Concurreny,Messaging and Job Queues (RabbitMQ/Redis/...),Multi-Processing,Multi-Threading,python",Python's Parallel Programming Possibilities - 4 levels of concurrency
Alessandro Molina,July 2019,"The Python Standard Library is a very rich toolset, which is the reason why Python is stated to come with ""batteries included"". In such an amount of features and tools it's easy to get lost and miss some of the less unknown modules or gems hidden within the whole load of functions and classes.","CPython,Debugging,Development,General,python","Python Standard Library, The Hidden Gems"
Thomas Kluiters,July 2019,"Executing machine learning models in a production environment can be tricky, especially at a major bank where compliance and risk are carefully taken into account. In this talk I explain how, we, at ING (a large bank operating on global scale), execute our Python models in a production environment by building minimal Docker images for python versions.","Data Science,Docker,Machine-Learning,Operations,Security",Securely executing Python machine learning models with distroless images at ING
"Stanislav Geidl,Tin Marković",July 2019,"[Replacement talk],This talk was a replacement for Stanislav Geidl's talk: From legacy code to modern code","Architecture,Clean Code,Development,Python 3,legacy-code",Refactoring in Python
Matthieu Amiguet,July 2019,"At Les Chemins de Traverse we explore ways of ""augmenting"" acoustical musical instruments with new sonic possibilities offered by computers. For doing so, we need ultra-low latency real-time audio processing programs. Pretty much the typical situation where python should *not* be used, right? Wrong. As it happens, that's exactly what we've been doing for the past few years.","Augmented Reality,DIY,Linux,The Answer to Life the Universe and Everything Else,Use Case",Python for realtime audio processing in a live music context
Paul Everitt,July 2019,"“Come for the language, stay for the community.” The Python community started in 1994 at a NIST workshop in Maryland. What was the world of Python like in its first years? Did we have any clue whatsoever? A joke-focused tour of early Python, heavy on question-and-answer.",Community,Python 1994
Marc-Andre Lemburg,July 2019,"Python has become the defacto standard tool for many people to write tools, command scripts, smaller applications and even large applications.","CPython,Development,Linux,Tooling,Use Case",PyRun - Shipping the Python 3.7 runtime in just 4.8MB
Philipp Thomann,July 2019,"Are you bored by 3D-plots that only give you a simple rotatable 2d-projection? plotVR is an open source package that provides a simple way for data scientists to plot data, pick up a phone, get a real 3d impression - either by VR or by AR - and use the computer's keyboard to walk through the scatter plot:","3D,Augmented Reality,Data Science,Open-Source,Visualization",PlotVR - walk through your data
Mark Smith,July 2019,"Always wanted to publish a package on PyPI, but didn't know where to start? This talk is for you! Starting with nothing, we'll build a package and publish it on PyPI using current best practices.","Best Practice,Packaging,Python 3",Publish a (Perfect) Python Package on PyPI
Reuven Lerner,July 2019,"Decorators are one of Python's most powerful features. But even if you understand what they do, it's not always obvious what you can do with them. Sure, from a practical perspective, they let you remove repeated code from your callables. And semantically, they let you think at a higher level of abstraction, applying the same treatment to functions and classes.","Compiler and Interpreters,Data Structures,Programming,Python Skills,Python general",Practical decorators
Juan Santos,July 2019,"Reading standards documents can be a dull task. But like in other fields, standards in Python play a big part. Python Enhancement Proposals (PEPs) are defined, improved, and eventually implemented by the community. They apply to mostly anything related to Python, from the more abstract and general to the more concrete and specific. Paying attention to them, and knowing which ones to read beforehand is a vital task that should take place prior to writing the first lines of code in a project.","Clean Code,Python Skills,Python general",PEP yourself: 10 PEPs you should pay attention to
Pierre Glaser,July 2019,"Parallel computing in Python: Current state and recent advances,---------------------------------------------------------------","Distributed Systems,Multi-Processing,Multi-Threading,Performance,Scientific Libraries (Numpy/Pandas/SciKit/...)",Parallel computing in Python: Current state and recent advances
Teresa Ingram,July 2019,"""Although people of all genders can experience violence and abuse online, the abuse experienced by women is often sexist or misogynistic in nature, and online threats of violence against women are often sexualized and include specific references to women’s bodies. "" - Amnesty International. This abuse pushes women offline, affecting their social well-being, representation and economic potential. ","Communication,Data Science,Open-Source,TDD,Web",Opt Out of Online Sexism – Open Source Activism
Ronan Lamy,July 2019,"PyPy is a fast and compliant implementation of Python. In other words, it's an interpreter for the Python language that can act as a full replacement for the reference interpreter, CPython. It's optimised to enable efficient just-in-time (JIT) compilation of Python code to machine code, and has releases matching versions 2.7, and 3.6. It now also supports the main pillars of the scientific ecosystem (numpy, Cython, scipy, pandas, ...) thanks to its emulation layer for the C API of CPython.","Compiler and Interpreters,PyPy",Opening PyPy's magic black box
Dmitry Figol,July 2019,"Do you deploy Python applications in Docker? Then this session is for you! ,We will start by reviewing a simple Dockerfile to package a Python application and move to more complex examples which speed up the build process and reduce the size of the resulting Docker image for both development and production builds.","Deployment/Continuous Integration and Delivery,Docker",Optimizing Docker builds for Python applications
